17897,1497380317.0,,,192.168.2.112,192.168.5.221,ICMP test detected,,,,,,
17898,1497380317.0,,,192.168.2.112,192.168.5.222,ICMP test detected,,,,,,
17899,1497380317.0,,,192.168.2.112,192.168.5.223,ICMP test detected,,,,,,
17900,1497380317.0,,,192.168.2.112,192.168.5.224,ICMP test detected,,,,,,
17901,1497380317.0,,,192.168.2.112,192.168.5.225,ICMP test detected,,,,,,
17902,1497380317.0,,,192.168.2.112,192.168.5.226,ICMP test detected,,,,,,
17903,1497380317.0,,,192.168.2.112,192.168.5.227,ICMP test detected,,,,,,
17904,1497380317.0,,,192.168.2.112,192.168.5.228,ICMP test detected,,,,,,
17905,1497380317.0,,,192.168.2.112,192.168.5.231,ICMP test detected,,,,,,
17906,1497380317.0,,,192.168.2.112,192.168.5.232,ICMP test detected,,,,,,
17907,1497380317.0,,,192.168.2.112,192.168.5.233,ICMP test detected,,,,,,
17908,1497380317.0,,,192.168.2.112,192.168.5.234,ICMP test detected,,,,,,
17909,1497380317.0,,,192.168.2.112,192.168.5.235,ICMP test detected,,,,,,
17910,1497380317.0,,,192.168.2.112,192.168.5.236,ICMP test detected,,,,,,
17911,1497380317.0,,,192.168.2.112,192.168.5.237,ICMP test detected,,,,,,
17912,1497380317.0,,,192.168.2.112,192.168.5.238,ICMP test detected,,,,,,
17913,1497380317.0,,,192.168.2.112,192.168.5.239,ICMP test detected,,,,,,
17914,1497380317.0,,,192.168.2.112,192.168.5.240,ICMP test detected,,,,,,
17915,1497380317.0,,,192.168.2.112,192.168.5.241,ICMP test detected,,,,,,
17916,1497380317.0,,,192.168.2.112,192.168.5.242,ICMP test detected,,,,,,
17917,1497380317.0,,,192.168.2.112,192.168.5.243,ICMP test detected,,,,,,
17918,1497380317.0,,,192.168.2.112,192.168.5.244,ICMP test detected,,,,,,
17919,1497380317.0,,,192.168.2.112,192.168.5.245,ICMP test detected,,,,,,
17920,1497380317.0,,,192.168.2.112,192.168.5.246,ICMP test detected,,,,,,
17921,1497380317.0,,,192.168.2.112,192.168.5.247,ICMP test detected,,,,,,
17922,1497380317.0,,,192.168.2.112,192.168.5.248,ICMP test detected,,,,,,
17923,1497380317.0,,,192.168.2.112,192.168.5.249,ICMP test detected,,,,,,
17924,1497380317.0,,,192.168.2.112,192.168.5.250,ICMP test detected,,,,,,
17925,1497380317.0,,,192.168.2.112,192.168.5.251,ICMP test detected,,,,,,
17926,1497380317.0,,,192.168.2.112,192.168.5.252,ICMP test detected,,,,,,
17927,1497380317.0,,,192.168.2.112,192.168.5.253,ICMP test detected,,,,,,
17928,1497380317.0,,,192.168.2.112,192.168.5.254,ICMP test detected,,,,,,
17929,1497380317.0,,,192.168.2.112,192.168.5.255,ICMP test detected,,,,,,
17930,1497380317.0,,,192.168.2.112,192.168.5.3,ICMP test detected,,,,,,
17942,1497380317.0,,,192.168.2.112,192.168.5.13,ICMP test detected,,,,,,
17943,1497380317.0,,,192.168.2.112,192.168.5.14,ICMP test detected,,,,,,
17944,1497380317.0,,,192.168.2.112,192.168.5.17,ICMP test detected,,,,,,
17945,1497380317.0,,,192.168.2.112,192.168.5.18,ICMP test detected,,,,,,
17946,1497380317.0,,,192.168.2.112,192.168.5.30,ICMP test detected,,,,,,
17947,1497380317.0,,,192.168.2.112,192.168.5.31,ICMP test detected,,,,,,
17948,1497380317.0,,,192.168.2.112,192.168.5.43,ICMP test detected,,,,,,
17949,1497380317.0,,,192.168.2.112,192.168.5.44,ICMP test detected,,,,,,
17950,1497380317.0,,,192.168.2.112,192.168.5.56,ICMP test detected,,,,,,
17951,1497380317.0,,,192.168.2.112,192.168.5.57,ICMP test detected,,,,,,
17952,1497380317.0,,,192.168.2.112,192.168.5.69,ICMP test detected,,,,,,
17953,1497380317.0,,,192.168.2.112,192.168.5.70,ICMP test detected,,,,,,
17954,1497380317.0,,,192.168.2.112,192.168.5.82,ICMP test detected,,,,,,
17955,1497380317.0,,,192.168.2.112,192.168.5.83,ICMP test detected,,,,,,
17956,1497380317.0,,,192.168.2.112,192.168.5.95,ICMP test detected,,,,,,
17957,1497380317.0,,,192.168.2.112,192.168.5.96,ICMP test detected,,,,,,
17958,1497380317.0,,,192.168.2.112,192.168.5.108,ICMP test detected,,,,,,
17959,1497380317.0,,,192.168.2.112,192.168.5.109,ICMP test detected,,,,,,
17960,1497380317.0,,,192.168.2.112,192.168.5.110,ICMP test detected,,,,,,
17961,1497380317.0,,,192.168.2.112,192.168.5.111,ICMP test detected,,,,,,
17962,1497380317.0,,,192.168.2.112,192.168.5.112,ICMP test detected,,,,,,
17963,1497380317.0,,,192.168.2.112,192.168.5.113,ICMP test detected,,,,,,
17964,1497380317.0,,,192.168.2.112,192.168.5.163,ICMP test detected,,,,,,
17965,1497380317.0,,,192.168.2.112,192.168.5.164,ICMP test detected,,,,,,
17966,1497380317.0,,,192.168.2.112,192.168.5.181,ICMP test detected,,,,,,
17978,1497380317.0,,,192.168.2.112,192.168.5.185,ICMP test detected,,,,,,
17979,1497380317.0,,,192.168.2.112,192.168.5.186,ICMP test detected,,,,,,
17980,1497380317.0,,,192.168.2.112,192.168.5.188,ICMP test detected,,,,,,
17981,1497380317.0,,,192.168.2.112,192.168.5.189,ICMP test detected,,,,,,
17982,1497380317.0,,,192.168.2.112,192.168.5.229,ICMP test detected,,,,,,
17983,1497380317.0,,,192.168.2.112,192.168.5.230,ICMP test detected,,,,,,
17984,1497380317.0,,,192.168.2.112,192.168.5.0,ICMP test detected,,,,,,
17985,1497380317.0,,,192.168.2.112,192.168.5.2,ICMP test detected,,,,,,
17986,1497380317.0,,,192.168.2.112,192.168.5.182,ICMP test detected,,,,,,
18690,1497380320.0,,,192.168.2.112,192.168.5.122,ET POLICY Suspicious inbound to mySQL port 3306,,,,,,
18691,1497380320.0,,,192.168.2.112,192.168.5.123,ET POLICY Suspicious inbound to mySQL port 3306,,,,,,
18692,1497380320.0,,,192.168.2.112,192.168.5.124,ET POLICY Suspicious inbound to mySQL port 3306,,,,,,
18693,1497380320.0,,,192.168.2.112,192.168.5.1,ET POLICY Suspicious inbound to mySQL port 3306,,,,,,
18694,1497380320.0,,,192.168.2.112,192.168.5.123,ET DOS Microsoft Remote Desktop (RDP) Syn then Reset 30 Second DoS Attempt,,,,,,
18695,1497380320.0,,,192.168.2.112,192.168.5.122,ET SCAN Potential VNC Scan 5900-5920,,,,,,
18696,1497380320.0,,,192.168.2.112,192.168.5.123,ET SCAN Potential VNC Scan 5800-5820,,,,,,
18697,1497380320.0,,,192.168.2.112,192.168.5.123,ET POLICY Suspicious inbound to MSSQL port 1433,,,,,,
18698,1497380320.0,,,192.168.2.112,192.168.5.124,ET POLICY Suspicious inbound to MSSQL port 1433,,,,,,
18699,1497380320.0,,,192.168.2.112,192.168.5.122,ET POLICY Suspicious inbound to MSSQL port 1433,,,,,,
18700,1497380320.0,,,192.168.2.112,192.168.5.123,ET POLICY Suspicious inbound to Oracle SQL port 1521,,,,,,
18701,1497380320.0,,,192.168.2.112,192.168.5.124,ET POLICY Suspicious inbound to Oracle SQL port 1521,,,,,,
18702,1497380320.0,,,192.168.2.112,192.168.5.122,ET POLICY Suspicious inbound to Oracle SQL port 1521,,,,,,
18703,1497380320.0,,,192.168.2.112,192.168.5.123,ET POLICY Suspicious inbound to PostgreSQL port 5432,,,,,,
18704,1497380320.0,,,192.168.2.112,192.168.5.124,ET POLICY Suspicious inbound to PostgreSQL port 5432,,,,,,
18705,1497380320.0,,,192.168.2.112,192.168.5.122,ET POLICY Suspicious inbound to PostgreSQL port 5432,,,,,,
18706,1497380347.0,,,192.168.2.112,192.168.5.1,ET POLICY Suspicious inbound to MSSQL port 1433,,,,,,
18708,1497380356.0,,,192.168.2.112,192.168.5.1,ET POLICY Suspicious inbound to Oracle SQL port 1521,,,,,,
18709,1497380357.0,,,192.168.2.112,192.168.5.1,ET POLICY Suspicious inbound to PostgreSQL port 5432,,,,,,
18711,1497380370.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt,,,,,,
18712,1497380370.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18719,1497380374.0,,,192.168.4.119,64.45.59.77,(http_inspect) INVALID CONTENT-LENGTH OR CHUNK SIZE,,,,,,
18720,1497380374.0,,,64.45.59.77,192.168.4.119,(http_inspect) NO CONTENT-LENGTH OR TRANSFER-ENCODING IN HTTP RESPONSE,,,,,,
18722,1497380378.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt,,,,,,
18723,1497380380.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18724,1497380384.0,,,67.111.12.102,192.168.1.101,(spp_sdf) SDF Combination Alert,,,,,,
18725,1497380396.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18726,1497380399.0,,,192.168.4.119,94.100.185.56,(http_inspect) INVALID CONTENT-LENGTH OR CHUNK SIZE,,,,,,
18729,1497380407.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18730,1497380407.0,,,192.168.2.107,203.116.131.24,(http_inspect) INVALID CONTENT-LENGTH OR CHUNK SIZE,,,,,,
18731,1497380407.0,,,203.116.131.24,192.168.2.107,(http_inspect) NO CONTENT-LENGTH OR TRANSFER-ENCODING IN HTTP RESPONSE,,,,,,
18732,1497380415.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18733,1497380455.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18734,1497380461.0,,,67.20.126.69,192.168.3.115,(spp_sdf) SDF Combination Alert,,,,,,
18735,1497380472.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt,,,,,,
18739,1497380498.0,,,67.111.12.102,192.168.1.101,(spp_sdf) SDF Combination Alert,,,,,,
18740,1497380500.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18741,1497380501.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt,,,,,,
18746,1497380501.0,,,192.168.3.115,74.220.195.150,Reset outside window,,,,,,
18751,1497380502.0,,,142.166.14.79,192.168.4.121,(spp_sdf) SDF Combination Alert,,,,,,
18752,1497380509.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18753,1497380513.0,,,91.190.170.71,192.168.4.121,(spp_sdf) SDF Combination Alert,,,,,,
18754,1497380518.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18755,1497380541.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18757,1497380548.0,,,91.190.170.71,192.168.4.121,(spp_sdf) SDF Combination Alert,,,,,,
18758,1497380550.0,,,192.168.5.122,192.168.1.102,Consecutive TCP small segments exceeding threshold,,,,,,
18763,1497380565.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt,,,,,,
18764,1497380565.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
18765,1497380614.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS TMG Firewall Client long host entry exploit attempt,,,,,,
18767,1497380615.0,,,198.164.30.2,192.168.5.122,PROTOCOL-DNS potential dns cache poisoning attempt - mismatched txid,,,,,,
