initial_ph,minimum_ph,delta_ph_0,Tmax,rho,omega,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
1000.0,100.0,500.0,20,0.02,500.0,3,997,3,0,1,0.3618759439746328,0.23968531140559263,0.1992193723098873,0.1992193723098873
1000.0,100.0,500.0,20,0.02,600.0,3,997,3,0,1,0.3618997478846944,0.2396812922792177,0.19920947991804397,0.19920947991804397
1000.0,100.0,500.0,20,0.02,700.0,3,997,3,0,1,0.3619141029396349,0.23967886821248469,0.1992035144239403,0.1992035144239403
1000.0,100.0,500.0,20,0.02,800.0,3,997,3,0,1,0.36192342074695555,0.2396772946340649,0.1991996423094898,0.1991996423094898
1000.0,100.0,500.0,20,0.02,900.0,3,997,3,0,1,0.3619298093800328,0.2396762156729356,0.19919698747351586,0.19919698747351586
1000.0,100.0,500.0,20,0.02,1000.0,3,997,3,0,1,0.3619343793188656,0.23967544383802528,0.19919508842155448,0.19919508842155448
1000.0,100.0,500.0,20,0.02,1100.0,3,997,3,0,1,0.3619377606572565,0.2396748727350756,0.19919368330383402,0.19919368330383402
1000.0,100.0,500.0,20,0.02,1200.0,3,997,3,0,1,0.36194033249962665,0.23967443834599236,0.19919261457719054,0.19919261457719054
1000.0,100.0,500.0,20,0.02,1300.0,3,997,3,0,1,0.361942334031949,0.2396741002781096,0.19919178284497077,0.19919178284497077
1000.0,100.0,500.0,20,0.02,1400.0,3,997,3,0,1,0.3619439222078803,0.23967383202472242,0.19919112288369872,0.19919112288369872
1000.0,100.0,500.0,20,0.02,1500.0,3,997,3,0,1,0.3619452034809178,0.2396736156071471,0.19919059045596751,0.19919059045596751
1000.0,100.0,500.0,20,0.02,1600.0,3,997,3,0,1,0.3619462521181428,0.23967343848227532,0.19919015469979098,0.19919015469979098
1000.0,100.0,500.0,20,0.02,1700.0,3,997,3,0,1,0.3619471212092457,0.23967329168350648,0.19918979355362382,0.19918979355362382
1000.0,100.0,500.0,20,0.02,1800.0,3,997,3,0,1,0.36194784952039116,0.23967316866330823,0.1991894909081503,0.1991894909081503
1000.0,100.0,500.0,20,0.02,1900.0,3,997,3,0,1,0.36194846589318186,0.23967306455032036,0.1991892347782489,0.1991892347782489
1000.0,100.0,500.0,20,0.02,2000.0,3,997,3,0,1,0.3619489921445222,0.23967297565961496,0.19918901609793147,0.19918901609793147
1000.0,100.0,500.0,20,0.02,2100.0,3,997,3,0,1,0.36194944502402593,0.2396728991621137,0.1991888279069301,0.1991888279069301
1000.0,100.0,500.0,20,0.02,2200.0,3,997,3,0,1,0.36194983756343707,0.2396728328566835,0.19918866478993966,0.19918866478993966
1000.0,100.0,500.0,20,0.02,2300.0,3,997,3,0,1,0.36195018002468515,0.23967277501001533,0.19918852248264984,0.19918852248264984
1000.0,100.0,500.0,20,0.02,2400.0,3,997,3,0,1,0.36195048057743157,0.2396727242421894,0.19918839759018955,0.19918839759018955
1000.0,100.0,500.0,20,0.02,2500.0,3,997,3,0,1,0.3619507457908515,0.23967267944361487,0.19918828738276687,0.19918828738276687
1000.0,100.0,500.0,20,0.02,2600.0,3,997,3,0,1,0.36195098099565737,0.23967263971388336,0.19918818964522958,0.19918818964522958
1000.0,100.0,500.0,20,0.02,2700.0,3,997,3,0,1,0.36195119055406777,0.23967260431617146,0.1991881025648803,0.1991881025648803
1000.0,100.0,500.0,20,0.02,2800.0,3,997,3,0,1,0.3619513780635323,0.2396725726428307,0.1991880246468185,0.1991880246468185
1000.0,100.0,500.0,20,0.02,2900.0,3,997,3,0,1,0.36195154651215694,0.23967254418913542,0.19918795464935374,0.19918795464935374
1000.0,100.0,500.0,20,0.02,3000.0,3,997,3,0,1,0.36195169839849056,0.239672518533051,0.19918789153422922,0.19918789153422922
1000.0,100.0,500.0,20,0.02,3100.0,3,997,3,0,1,0.36195183582471,0.23967249531949328,0.1991878344278983,0.1991878344278983
1000.0,100.0,500.0,20,0.02,3200.0,3,997,3,0,1,0.3619519605697517,0.23967247424797714,0.19918778259113554,0.19918778259113554
1000.0,100.0,500.0,20,0.03,200.0,3,997,3,0,1,0.3618571040368473,0.23968849193809388,0.19922720201252928,0.19922720201252928
1000.0,100.0,500.0,20,0.03,300.0,3,997,3,0,1,0.3624669728160811,0.23958532791540935,0.19897384963425468,0.19897384963425468
1000.0,100.0,500.0,20,0.03,400.0,3,997,3,0,1,0.36268108245355146,0.2395490085030127,0.198884954521718,0.198884954521718
1000.0,100.0,500.0,20,0.03,500.0,3,997,3,0,1,0.36278029984053517,0.2395321604660196,0.19884376984672256,0.19884376984672256
1000.0,100.0,500.0,20,0.03,600.0,3,997,3,0,1,0.36283422627765155,0.23952299852973097,0.19882138759630874,0.19882138759630874
1000.0,100.0,500.0,20,0.03,700.0,3,997,3,0,1,0.3628667526222387,0.23951747079520663,0.19880788829127732,0.19880788829127732
1000.0,100.0,500.0,20,0.03,800.0,3,997,3,0,1,0.3628878676600006,0.2395138817232499,0.19879912530837468,0.19879912530837468
1000.0,100.0,500.0,20,0.03,900.0,3,997,3,0,1,0.36290234596592574,0.23951142044875853,0.1987931167926579,0.1987931167926579
1000.0,100.0,500.0,20,0.03,1000.0,3,997,3,0,1,0.36291270316399304,0.2395096596048479,0.19878881861557948,0.19878881861557948
1000.0,100.0,500.0,20,0.03,1100.0,3,997,3,0,1,0.3629203668297837,0.23950835661373182,0.19878563827824225,0.19878563827824225
1000.0,100.0,500.0,20,0.03,1200.0,3,997,3,0,1,0.3629261959668506,0.23950736548773052,0.1987832192727094,0.1987832192727094
1000.0,100.0,500.0,20,0.03,1300.0,3,997,3,0,1,0.36293073257998504,0.23950659410220604,0.19878133665890443,0.19878133665890443
1000.0,100.0,500.0,20,0.03,1400.0,3,997,3,0,1,0.36293433235188555,0.23950598199625425,0.19877984282593006,0.19877984282593006
1000.0,100.0,500.0,20,0.03,1500.0,3,997,3,0,1,0.36293723653397364,0.2395054881577381,0.19877863765414405,0.19877863765414405
1000.0,100.0,500.0,20,0.03,1600.0,3,997,3,0,1,0.3629396134405985,0.2395050839720341,0.19877765129368366,0.19877765129368366
1000.0,100.0,500.0,20,0.03,1700.0,3,997,3,0,1,0.3629415833943002,0.23950474898253504,0.19877683381158243,0.19877683381158243
1000.0,100.0,500.0,20,0.03,1800.0,3,997,3,0,1,0.3629432342567541,0.23950446825090269,0.19877614874617164,0.19877614874617164
1000.0,100.0,500.0,20,0.03,1900.0,3,997,3,0,1,0.36294463139732114,0.23950423066262266,0.19877556897002815,0.19877556897002815
1000.0,100.0,500.0,20,0.03,2000.0,3,997,3,0,1,0.36294582426469835,0.23950402780989416,0.1987750739627038,0.1987750739627038
1000.0,100.0,500.0,20,0.03,2100.0,3,997,3,0,1,0.3629468508229202,0.2395038532375201,0.19877464796977987,0.19877464796977987
1000.0,100.0,500.0,20,0.03,2200.0,3,997,3,0,1,0.362947740609579,0.23950370192299467,0.19877427873371306,0.19877427873371306
1000.0,100.0,500.0,20,0.03,2300.0,3,997,3,0,1,0.3629485168844707,0.23950356991121022,0.1987739566021595,0.1987739566021595
1000.0,100.0,500.0,20,0.03,2400.0,3,997,3,0,1,0.3629491981651941,0.23950345405337992,0.198773673890713,0.198773673890713
1000.0,100.0,500.0,20,0.03,2500.0,3,997,3,0,1,0.36294979934174976,0.23950335181753316,0.19877342442035859,0.19877342442035859
1000.0,100.0,500.0,20,0.03,2600.0,3,997,3,0,1,0.36295033249706066,0.2395032611490065,0.19877320317696637,0.19877320317696637
1000.0,100.0,500.0,20,0.03,2700.0,3,997,3,0,1,0.3629508075188599,0.2395031803664058,0.1987730060573671,0.1987730060573671
1000.0,100.0,500.0,20,0.03,2800.0,3,997,3,0,1,0.3629512325614388,0.23950310808309402,0.19877282967773358,0.19877282967773358
1000.0,100.0,500.0,20,0.03,2900.0,3,997,3,0,1,0.36295161439793083,0.23950304314729123,0.19877267122738893,0.19877267122738893
1000.0,100.0,500.0,20,0.03,3000.0,3,997,3,0,1,0.36295195869181335,0.2395029845959095,0.19877252835613857,0.19877252835613857
1000.0,100.0,500.0,20,0.03,3100.0,3,997,3,0,1,0.3629522702081234,0.23950293161863762,0.19877239908661945,0.19877239908661945
1000.0,100.0,500.0,20,0.03,3200.0,3,997,3,0,1,0.3629525529792166,0.23950288352975585,0.1987722817455137,0.1987722817455137
1000.0,100.0,500.0,20,0.04,200.0,3,997,3,0,1,0.3620142127750725,0.23966195658438663,0.19916191532027047,0.19916191532027047
1000.0,100.0,500.0,20,0.04,300.0,3,997,3,0,1,0.36310161664375273,0.23947752060193114,0.19871043137715805,0.19871043137715805
1000.0,100.0,500.0,20,0.04,400.0,3,997,3,0,1,0.3634842839885885,0.23941229419757806,0.19855171090691667,0.19855171090691667
1000.0,100.0,500.0,20,0.04,500.0,3,997,3,0,1,0.36366176946348205,0.23938198472312924,0.19847812290669437,0.19847812290669437
1000.0,100.0,500.0,20,0.04,600.0,3,997,3,0,1,0.3637582782582826,0.23936548869032853,0.19843811652569443,0.19843811652569443
1000.0,100.0,500.0,20,0.04,700.0,3,997,3,0,1,0.36381650300919627,0.2393555313302584,0.19841398283027267,0.19841398283027267
1000.0,100.0,500.0,20,0.04,800.0,3,997,3,0,1,0.3638543063973178,0.23934906428069638,0.1983983146609929,0.1983983146609929
1000.0,100.0,500.0,20,0.04,900.0,3,997,3,0,1,0.36388023031940353,0.23934462851799843,0.19838757058129902,0.19838757058129902
1000.0,100.0,500.0,20,0.04,1000.0,3,997,3,0,1,0.36389877656471564,0.23934145465723766,0.1983798843890234,0.1983798843890234
1000.0,100.0,500.0,20,0.04,1100.0,3,997,3,0,1,0.3639125003081596,0.2393391058299092,0.1983741969309657,0.1983741969309657
1000.0,100.0,500.0,20,0.04,1200.0,3,997,3,0,1,0.3639229392627117,0.23933731905264563,0.1983698708423213,0.1983698708423213
1000.0,100.0,500.0,20,0.04,1300.0,3,997,3,0,1,0.3639310637753362,0.23933592833954503,0.19836650394255936,0.19836650394255936
1000.0,100.0,500.0,20,0.04,1400.0,3,997,3,0,1,0.36393751067077557,0.239334824739009,0.19836383229510776,0.19836383229510776
1000.0,100.0,500.0,20,0.04,1500.0,3,997,3,0,1,0.3639427119184803,0.23933393433801145,0.1983616768717541,0.1983616768717541
1000.0,100.0,500.0,20,0.04,1600.0,3,997,3,0,1,0.3639469689057587,0.2393332055619248,0.1983599127661582,0.1983599127661582
1000.0,100.0,500.0,20,0.04,1700.0,3,997,3,0,1,0.36395049709304506,0.23933260153731192,0.19835845068482147,0.19835845068482147
1000.0,100.0,500.0,20,0.04,1800.0,3,997,3,0,1,0.3639534538183824,0.2393320953358986,0.1983572254228595,0.1983572254228595
1000.0,100.0,500.0,20,0.04,1900.0,3,997,3,0,1,0.3639559561448394,0.23933166692133903,0.19835618846691078,0.19835618846691078
1000.0,100.0,500.0,20,0.04,2000.0,3,997,3,0,1,0.3639580926268073,0.23933130113609258,0.19835530311855,0.19835530311855
1000.0,100.0,500.0,20,0.04,2100.0,3,997,3,0,1,0.3639599312528299,0.23933098634234648,0.1983545412024118,0.1983545412024118
1000.0,100.0,500.0,20,0.04,2200.0,3,997,3,0,1,0.36396152492165845,0.239330713484952,0.19835388079669483,0.19835388079669483
1000.0,100.0,500.0,20,0.04,2300.0,3,997,3,0,1,0.3639629152897405,0.23933047543299935,0.19835330463863002,0.19835330463863002
1000.0,100.0,500.0,20,0.04,2400.0,3,997,3,0,1,0.36396413552102325,0.23933026650921546,0.1983527989848807,0.1983527989848807
1000.0,100.0,500.0,20,0.04,2500.0,3,997,3,0,1,0.3639652122829143,0.2393300821483569,0.1983523527843643,0.1983523527843643
1000.0,100.0,500.0,20,0.04,2600.0,3,997,3,0,1,0.3639661672156563,0.23932991864571934,0.19835195706931222,0.19835195706931222
1000.0,100.0,500.0,20,0.04,2700.0,3,997,3,0,1,0.3639670180280985,0.23932977296958158,0.19835160450115993,0.19835160450115993
1000.0,100.0,500.0,20,0.04,2800.0,3,997,3,0,1,0.3639677793246171,0.23932964261966502,0.19835128902785903,0.19835128902785903
1000.0,100.0,500.0,20,0.04,2900.0,3,997,3,0,1,0.3639684632360057,0.2393295255191415,0.1983510056224264,0.1983510056224264
1000.0,100.0,500.0,20,0.04,3000.0,3,997,3,0,1,0.3639690799057041,0.2393294199314031,0.19835075008144634,0.19835075008144634
1000.0,100.0,500.0,20,0.04,3100.0,3,997,3,0,1,0.36396963786806646,0.23932932439530963,0.19835051886831198,0.19835051886831198
1000.0,100.0,500.0,20,0.04,3200.0,3,997,3,0,1,0.36397014434522107,0.23932923767437048,0.19835030899020423,0.19835030899020423
1000.0,100.0,500.0,20,0.05,200.0,3,997,3,0,1,0.3619383331065591,0.23967477604795323,0.19919344542274392,0.19919344542274392
1000.0,100.0,500.0,20,0.05,300.0,3,997,3,0,1,0.3636403022377601,0.23938565262468203,0.19848702256877893,0.19848702256877893
1000.0,100.0,500.0,20,0.05,400.0,3,997,3,0,1,0.36424106727108474,0.23928280737770224,0.1982380626756065,0.1982380626756065
1000.0,100.0,500.0,20,0.05,500.0,3,997,3,0,1,0.3645200294677472,0.23923491210022635,0.19812252921601317,0.19812252921601317
1000.0,100.0,500.0,20,0.05,600.0,3,997,3,0,1,0.3646718018511628,0.2392088170224377,0.1980596905631997,0.1980596905631997
1000.0,100.0,500.0,20,0.05,700.0,3,997,3,0,1,0.36476339661710033,0.23919305596627952,0.1980217737083101,0.1980217737083101
1000.0,100.0,500.0,20,0.05,800.0,3,997,3,0,1,0.36482287768671295,0.23918281573571912,0.197997153288784,0.197997153288784
1000.0,100.0,500.0,20,0.05,900.0,3,997,3,0,1,0.3648636725177961,0.23917579019784146,0.1979802686421812,0.1979802686421812
1000.0,100.0,500.0,20,0.05,1000.0,3,997,3,0,1,0.3648928602102405,0.23917076244075186,0.19796818867450383,0.19796818867450383
1000.0,100.0,500.0,20,0.05,1100.0,3,997,3,0,1,0.36491445976915293,0.23916704116358795,0.19795924953362964,0.19795924953362964
1000.0,100.0,500.0,20,0.05,1200.0,3,997,3,0,1,0.36493089026447356,0.23916421008353744,0.19795244982599441,0.19795244982599441
1000.0,100.0,500.0,20,0.05,1300.0,3,997,3,0,1,0.3649436784041854,0.23916200639292476,0.19794715760144493,0.19794715760144493
1000.0,100.0,500.0,20,0.05,1400.0,3,997,3,0,1,0.36495382624290906,0.2391602575549354,0.19794295810107773,0.19794295810107773
1000.0,100.0,500.0,20,0.05,1500.0,3,997,3,0,1,0.3649620135439316,0.2391588465030722,0.19793956997649806,0.19793956997649806
1000.0,100.0,500.0,20,0.05,1600.0,3,997,3,0,1,0.3649687146104544,0.23915769154181302,0.19793679692386626,0.19793679692386626
1000.0,100.0,500.0,20,0.05,1700.0,3,997,3,0,1,0.36497426853640114,0.2391567342571992,0.19793449860319984,0.19793449860319984
1000.0,100.0,500.0,20,0.05,1800.0,3,997,3,0,1,0.36497892295206286,0.23915593198685128,0.1979325725305429,0.1979325725305429
1000.0,100.0,500.0,20,0.05,1900.0,3,997,3,0,1,0.3649828621061724,0.23915525298521323,0.1979309424543071,0.1979309424543071
1000.0,100.0,500.0,20,0.05,2000.0,3,997,3,0,1,0.36498622538081527,0.23915467323540593,0.1979295506918894,0.1979295506918894
1000.0,100.0,500.0,20,0.05,2100.0,3,997,3,0,1,0.3649891197905792,0.23915417429665897,0.19792835295638087,0.19792835295638087
1000.0,100.0,500.0,20,0.05,2200.0,3,997,3,0,1,0.3649916286002869,0.23915374182001756,0.19792731478984776,0.19792731478984776
1000.0,100.0,500.0,20,0.05,2300.0,3,997,3,0,1,0.3649938173800669,0.23915336450532995,0.19792640905730144,0.19792640905730144
1000.0,100.0,500.0,20,0.05,2400.0,3,997,3,0,1,0.3649957383330659,0.2391530333557177,0.19792561415560828,0.19792561415560828
1000.0,100.0,500.0,20,0.05,2500.0,3,997,3,0,1,0.3649974334368339,0.23915274113637092,0.19792491271339754,0.19792491271339754
1000.0,100.0,500.0,20,0.05,2600.0,3,997,3,0,1,0.36499893675598855,0.23915248197609423,0.19792429063395847,0.19792429063395847
1000.0,100.0,500.0,20,0.05,2700.0,3,997,3,0,1,0.3650002761669039,0.2391522510701374,0.1979237363814794,0.1979237363814794
1000.0,100.0,500.0,20,0.05,2800.0,3,997,3,0,1,0.36500147465926075,0.239152044455923,0.19792324044240808,0.19792324044240808
1000.0,100.0,500.0,20,0.05,2900.0,3,997,3,0,1,0.36500255132907444,0.23915185884193013,0.1979227949144977,0.1979227949144977
1000.0,100.0,500.0,20,0.05,3000.0,3,997,3,0,1,0.36500352214403103,0.23915169147580614,0.19792239319008148,0.19792239319008148
1000.0,100.0,500.0,20,0.05,3100.0,3,997,3,0,1,0.3650044005389019,0.23915154004175804,0.19792202970967004,0.19792202970967004
1000.0,100.0,500.0,20,0.05,3200.0,3,997,3,0,1,0.365005197882823,0.23915140258002313,0.19792169976857704,0.19792169976857704
1000.0,100.0,500.0,20,0.06,200.0,3,997,3,0,1,0.36163008438978456,0.23972678502286673,0.19932156529367434,0.19932156529367434
1000.0,100.0,500.0,20,0.06,300.0,3,997,3,0,1,0.3640820878000265,0.2393100631267373,0.1983039245366181,0.1983039245366181
1000.0,100.0,500.0,20,0.06,400.0,3,997,3,0,1,0.36495082477885127,0.2391607748274228,0.19794420019686287,0.19794420019686287
1000.0,100.0,500.0,20,0.06,500.0,3,997,3,0,1,0.3653547836290935,0.2390910647552704,0.19777707580781795,0.19777707580781795
1000.0,100.0,500.0,20,0.06,600.0,3,997,3,0,1,0.3655747116644902,0.23905303469229924,0.1976861268216052,0.1976861268216052
1000.0,100.0,500.0,20,0.06,700.0,3,997,3,0,1,0.3657074894120203,0.23903004821237775,0.19763123118780093,0.19763123118780093
1000.0,100.0,500.0,20,0.06,800.0,3,997,3,0,1,0.3657937349788895,0.23901510670490198,0.1975955791581043,0.1975955791581043
1000.0,100.0,500.0,20,0.06,900.0,3,997,3,0,1,0.36585289545909494,0.23900485265949772,0.1975711259407036,0.1975711259407036
1000.0,100.0,500.0,20,0.06,1000.0,3,997,3,0,1,0.36589522797813434,0.23899751290915247,0.19755362955635655,0.19755362955635655
1000.0,100.0,500.0,20,0.06,1100.0,3,997,3,0,1,0.3659265575099413,0.2389920795892486,0.19754068145040515,0.19754068145040515
1000.0,100.0,500.0,20,0.06,1200.0,3,997,3,0,1,0.3659503908895862,0.23898794554610883,0.19753083178215244,0.19753083178215244
1000.0,100.0,500.0,20,0.06,1300.0,3,997,3,0,1,0.36596894167411936,0.23898472735692253,0.19752316548447907,0.19752316548447907
1000.0,100.0,500.0,20,0.06,1400.0,3,997,3,0,1,0.36598366290450884,0.23898217324205306,0.197517081926719,0.197517081926719
1000.0,100.0,500.0,20,0.06,1500.0,3,997,3,0,1,0.3659955403710407,0.23898011233825697,0.1975121736453512,0.1975121736453512
1000.0,100.0,500.0,20,0.06,1600.0,3,997,3,0,1,0.36600526195739325,0.2389784253907808,0.19750815632591293,0.19750815632591293
1000.0,100.0,500.0,20,0.06,1700.0,3,997,3,0,1,0.36601331948215915,0.23897702712029628,0.19750482669877228,0.19750482669877228
1000.0,100.0,500.0,20,0.06,1800.0,3,997,3,0,1,0.36602007212358706,0.2389758552375705,0.1975020363194212,0.1975020363194212
1000.0,100.0,500.0,20,0.06,1900.0,3,997,3,0,1,0.3660257871383087,0.23897486338886945,0.19749967473641097,0.19749967473641097
1000.0,100.0,500.0,20,0.06,2000.0,3,997,3,0,1,0.36603066670987683,0.23897401650330027,0.1974976583934114,0.1974976583934114
1000.0,100.0,500.0,20,0.06,2100.0,3,997,3,0,1,0.3660348660750189,0.2389732876510437,0.1974959231369688,0.1974959231369688
1000.0,100.0,500.0,20,0.06,2200.0,3,997,3,0,1,0.3660385060217538,0.2389726558767303,0.1974944190507579,0.1974944190507579
1000.0,100.0,500.0,20,0.06,2300.0,3,997,3,0,1,0.36604168167135437,0.23897210467682,0.19749310682591284,0.19749310682591284
1000.0,100.0,500.0,20,0.06,2400.0,3,997,3,0,1,0.3660444687552904,0.23897162091116667,0.19749195516677148,0.19749195516677148
1000.0,100.0,500.0,20,0.06,2500.0,3,997,3,0,1,0.3660469281716801,0.2389711940128376,0.19749093890774103,0.19749093890774103
1000.0,100.0,500.0,20,0.06,2600.0,3,997,3,0,1,0.36604910933981494,0.2389708154063168,0.1974900376269341,0.1974900376269341
1000.0,100.0,500.0,20,0.06,2700.0,3,997,3,0,1,0.36605105270189453,0.23897047807357671,0.19748923461226434,0.19748923461226434
1000.0,100.0,500.0,20,0.06,2800.0,3,997,3,0,1,0.36605279161102805,0.23897017622658062,0.19748851608119566,0.19748851608119566
1000.0,100.0,500.0,20,0.06,2900.0,3,997,3,0,1,0.36605435377172535,0.23896990505739404,0.1974878705854402,0.1974878705854402
1000.0,100.0,500.0,20,0.06,3000.0,3,997,3,0,1,0.36605576235012366,0.23896966054557878,0.1974872885521487,0.1974872885521487
1000.0,100.0,500.0,20,0.06,3100.0,3,997,3,0,1,0.36605703683773005,0.23896943930833914,0.19748676192696538,0.19748676192696538
1000.0,100.0,500.0,20,0.06,3200.0,3,997,3,0,1,0.36605819372929516,0.23896923848291052,0.19748628389389714,0.19748628389389714
1000.0,100.0,500.0,20,0.07,200.0,3,997,3,0,1,0.3610913041509745,0.2398174278133517,0.19954563401783681,0.19954563401783681
1000.0,100.0,500.0,20,0.07,300.0,3,997,3,0,1,0.36442625250042787,0.23925102262298434,0.19816136243829394,0.19816136243829394
1000.0,100.0,500.0,20,0.07,400.0,3,997,3,0,1,0.36561301357275905,0.2390464059129205,0.19767029025716018,0.19767029025716018
1000.0,100.0,500.0,20,0.07,500.0,3,997,3,0,1,0.3661657633146615,0.23895055882072877,0.19744183893230477,0.19744183893230477
1000.0,100.0,500.0,20,0.07,600.0,3,997,3,0,1,0.3664669393468955,0.23889818960165524,0.1973174355257246,0.1973174355257246
1000.0,100.0,500.0,20,0.07,700.0,3,997,3,0,1,0.3666488513114671,0.23886650878393711,0.19724231995229782,0.19724231995229782
1000.0,100.0,500.0,20,0.07,800.0,3,997,3,0,1,0.36676704499476104,0.2388459048294324,0.19719352508790328,0.19719352508790328
1000.0,100.0,500.0,20,0.07,900.0,3,997,3,0,1,0.36684813544821043,0.2388317597507391,0.19716005240052528,0.19716005240052528
1000.0,100.0,500.0,20,0.07,1000.0,3,997,3,0,1,0.36690616755254185,0.23882163233164855,0.19713610005790475,0.19713610005790475
1000.0,100.0,500.0,20,0.07,1100.0,3,997,3,0,1,0.36694912009225233,0.23881413406918356,0.1971183729192821,0.1971183729192821
1000.0,100.0,500.0,20,0.07,1200.0,3,997,3,0,1,0.366981797760867,0.23880842811015757,0.19710488706448767,0.19710488706448767
1000.0,100.0,500.0,20,0.07,1300.0,3,997,3,0,1,0.36700723389648837,0.23880398578872705,0.19709439015739225,0.19709439015739225
1000.0,100.0,500.0,20,0.07,1400.0,3,997,3,0,1,0.36702741994615956,0.2388004598564784,0.19708606009868102,0.19708606009868102
1000.0,100.0,500.0,20,0.07,1500.0,3,997,3,0,1,0.3670437071199743,0.2387976146136743,0.1970793391331757,0.1970793391331757
1000.0,100.0,500.0,20,0.07,1600.0,3,997,3,0,1,0.3670570383732214,0.23879528552528553,0.1970738380507465,0.1970738380507465
1000.0,100.0,500.0,20,0.07,1700.0,3,997,3,0,1,0.36706808794133794,0.2387933549161341,0.19706927857126388,0.19706927857126388
1000.0,100.0,500.0,20,0.07,1800.0,3,997,3,0,1,0.3670773482511674,0.23879173682511157,0.19706545746186047,0.19706545746186047
1000.0,100.0,500.0,20,0.07,1900.0,3,997,3,0,1,0.36708518572425414,0.23879036727673478,0.19706222349950553,0.19706222349950553
1000.0,100.0,500.0,20,0.07,2000.0,3,997,3,0,1,0.36709187757502265,0.23878919786389763,0.1970594622805398,0.1970594622805398
1000.0,100.0,500.0,20,0.07,2100.0,3,997,3,0,1,0.3670976366562463,0.23878819141389954,0.1970570859649271,0.1970570859649271
1000.0,100.0,500.0,20,0.07,2200.0,3,997,3,0,1,0.3671026285912075,0.2387873189992831,0.19705502620475465,0.19705502620475465
